"","Number of People","CI_Prop_low","CI_Prop_upp","Year","Dem_group","Category"
"90",3984447,3801109,4167785,"2018","Age 45 to 49","Age"
"91",4034510,3860095,4208925,"2016","Age 45 to 49","Age"
"92",4053810,3871070,4236551,"2009","Age 40 to 44","Age"
"93",4107955,3931277,4284634,"2015","Age 45 to 49","Age"
"94",4177621,4000055,4355186,"2014","Age 45 to 49","Age"
"95",4284045,4107414,4460677,"2013","Age 45 to 49","Age"
"96",4425212,4234260,4616165,"2005","Age 40 to 44","Age"
"97",4467747,4246599,4688895,"2001","Age 45 to 49","Age"
"98",4561341,4373914,4748767,"2012","Age 45 to 49","Age"
"99",4570964,4353655,4788272,"2003","Age 40 to 44","Age"
"100",4575483,4402454,4748512,"2011","Age 45 to 49","Age"
"101",4641161,4447826,4834496,"2007","Age 40 to 44","Age"
"102",4844385,4679167,5009602,"2009","Age 45 to 49","Age"
"103",4939790,4704201,5175379,"2001","Age 60 to 64","Age"
"104",5037717,4867765,5207669,"2007","Age 45 to 49","Age"
"105",5115454,4898741,5332167,"2001","Age 55 to 59","Age"
"106",5125988,4907997,5343979,"2001","Age 50 to 54","Age"
"107",5214591,5009223,5419959,"2003","Age 65 to 69","Age"
"108",5277253,5066050,5488456,"2003","Age 45 to 49","Age"
"109",5471446,5285508,5657384,"2005","Age 65 to 69","Age"
"110",5479023,5277791,5680255,"2005","Age 45 to 49","Age"
"111",5606141,5338455,5873826,"2020","Age 50 to 54","Age"
"112",5642310,5372499,5912122,"2001","Age 65 to 69","Age"
"113",5688314,5528237,5848391,"2007","Age 65 to 69","Age"
"114",5702714,5567912,5837516,"2009","Age 65 to 69","Age"
"115",5871680,5654252,6089108,"2019","Age 50 to 54","Age"
"116",5966957,5750905,6183010,"2003","Age 60 to 64","Age"
"117",6018790,5873966,6163615,"2011","Age 65 to 69","Age"
"118",6080957,5902671,6259243,"2005","Age 60 to 64","Age"
"119",6285416,6039337,6531494,"2017","Age 50 to 54","Age"
"120",6473736,6214228,6733245,"2018","Age 50 to 54","Age"
"121",6549424,6307088,6791761,"2003","Age 50 to 54","Age"
"122",6591247,6356598,6825896,"2003","Age 55 to 59","Age"
"123",6703378,6481687,6925068,"2016","Age 50 to 54","Age"
"124",6714110,6496578,6931643,"2005","Age 50 to 54","Age"
"125",6778911,6597001,6960821,"2011","Age 55 to 59","Age"
"126",6807748,6586526,7028970,"2015","Age 50 to 54","Age"
"127",6815125,6645289,6984961,"2009","Age 55 to 59","Age"
"128",6843461,6537758,7149164,"2020","Age 55 to 59","Age"
"129",6917971,6706791,7129151,"2019","Age 55 to 59","Age"
"130",6926600,6744012,7109188,"2012","Age 65 to 69","Age"
"131",7072624,6893922,7251327,"2007","Age 60 to 64","Age"
"132",7114601,6925582,7303620,"2013","Age 65 to 69","Age"
"133",7145223,6927642,7362803,"2011","Age 50 to 54","Age"
"134",7145359,6934839,7355878,"2005","Age 55 to 59","Age"
