"","Number of People","CI_Prop_low","CI_Prop_upp","Year","Dem_group","Category"
"97",6714045,4881214,8546877,"2018","50 to 54","Age"
"98",6801190,5434224,8168157,"2004","50 to 54","Age"
"99",6894288,5449075,8339500,"2014","50 to 54","Age"
"100",6995337,5912451,8078224,"2008","60 to 64","Age"
"101",7239667,5732703,8746631,"2014","55 to 59","Age"
"102",7629518,5798240,9460795,"2012","55 to 59","Age"
"103",7691610,6297956,9085264,"2014","65 to 69","Age"
"104",8067953,6142522,9993383,"2018","65 to 69","Age"
"105",8332542,6599622,10065463,"2016","55 to 59","Age"
"106",8553663,7215600,9891727,"2000","Healthy weight","BMI"
"107",8785661,6920896,10650425,"2016","60 to 64","Age"
"108",8930994,7599105,10262883,"2002","Healthy weight","BMI"
"109",8941821,7057182,10826459,"2018","60 to 64","Age"
"110",9026695,6937306,11116084,"2018","55 to 59","Age"
"111",9242964,7237277,11248652,"2016","65 to 69","Age"
"112",9304685,8328714,10280656,"2002","70 and above","Age"
"113",9367578,7749575,10985581,"2014","60 to 64","Age"
"114",9425922.64588739,8362406,10489438,"2000","70 and above","Age"
"115",10052859,8244161,11861558,"2018","Healthy weight","BMI"
"116",10228398,8701952,11754844,"2014","Healthy weight","BMI"
"117",10410234,8995128,11825341,"2010","Healthy weight","BMI"
"118",11020659,9446501,12594816,"2006","Healthy weight","BMI"
"119",11123775,9654174,12593375,"2000","Overweight","BMI"
"120",11140663,9220466,13060859,"2016","Healthy weight","BMI"
"121",11423930,9527432,13320428,"2012","Healthy weight","BMI"
"122",11576582,10007779,13145386,"2004","Healthy weight","BMI"
"123",12153583,10564300,13742865,"2008","Healthy weight","BMI"
"124",12243902,11099246,13388558,"2004","70 and above","Age"
"125",12363890,10899474,13828307,"2002","Overweight","BMI"
"126",12809619,11516131,14103106,"2006","70 and above","Age"
"127",13189307,12056368,14322246,"2008","70 and above","Age"
"128",13749172,12071829,15426515,"2000","Male","Sex"
"129",14023212,12531463,15514962,"2012","70 and above","Age"
"130",14108957,12498948,15718966,"2002","Obese","BMI"
"131",14145575,12940679,15350470,"2010","70 and above","Age"
"132",14522407,12779121,16265693,"2000","Obese","BMI"
"133",14825557,13036631,16614482,"2006","Overweight","BMI"
"134",14944296,12851970,17036621,"2012","Overweight","BMI"
"135",15169002,13595566,16742439,"2014","70 and above","Age"
"136",15338654,13635959,17041349,"2004","Overweight","BMI"
"137",15490071,13807100,17173041,"2002","Male","Sex"
"138",15890423,14064232,17716613,"2016","70 and above","Age"
"139",15894885,14171292,17618479,"2010","Overweight","BMI"
"140",16749058,14966442,18531674,"2008","Overweight","BMI"
"141",17650656,15596975,19704337,"2014","Overweight","BMI"
"142",17752670,15386312,20119028,"2016","Overweight","BMI"
"143",17886653,15975003,19798302,"2018","70 and above","Age"
"144",18708393,16059371,21357416,"2018","Overweight","BMI"
"145",18814127,16825620,20802634,"2004","Male","Sex"
"146",18865712,16864932,20866492,"2004","Obese","BMI"
"147",19318252,16921899,21714606,"2012","Male","Sex"
"148",19680218,17648066,21712369,"2006","Male","Sex"
"149",20923689,18973167,22874211,"2010","Male","Sex"
